,training
0,pancreas_212.nii.gz
1,liver_32.nii.gz
2,pancreas_328.nii.gz
3,lung_003.nii.gz
4,lung_061.nii.gz
5,pancreas_303.nii.gz
6,liver_41.nii.gz
7,lung_070.nii.gz
8,liver_91.nii.gz
9,pancreas_301.nii.gz
10,pancreas_398.nii.gz
11,liver_105.nii.gz
12,lung_029.nii.gz
13,lung_037.nii.gz
14,liver_114.nii.gz
15,pancreas_318.nii.gz
16,lung_081.nii.gz
17,pancreas_244.nii.gz
18,lung_047.nii.gz
19,lung_015.nii.gz
20,lung_083.nii.gz
21,liver_106.nii.gz
22,liver_38.nii.gz
23,pancreas_345.nii.gz
24,pancreas_347.nii.gz
25,lung_096.nii.gz
26,liver_115.nii.gz
27,pancreas_246.nii.gz
28,lung_048.nii.gz
29,lung_080.nii.gz
30,lung_001.nii.gz
31,pancreas_308.nii.gz
32,pancreas_321.nii.gz
33,lung_059.nii.gz
34,lung_079.nii.gz
35,liver_34.nii.gz
36,pancreas_165.nii.gz
37,pancreas_304.nii.gz
38,lung_062.nii.gz
39,lung_071.nii.gz
40,pancreas_217.nii.gz
41,pancreas_218.nii.gz
42,pancreas_104.nii.gz
43,lung_025.nii.gz
44,pancreas_346.nii.gz
45,pancreas_325.nii.gz
46,pancreas_120.nii.gz
47,liver_89.nii.gz
48,pancreas_265.nii.gz
49,lung_058.nii.gz
50,lung_092.nii.gz
51,pancreas_169.nii.gz
52,liver_73.nii.gz
53,liver_54.nii.gz
54,liver_12.nii.gz
55,liver_125.nii.gz
56,liver_25.nii.gz
57,liver_65.nii.gz
58,liver_5.nii.gz
59,liver_83.nii.gz
60,liver_49.nii.gz
61,liver_62.nii.gz
62,liver_37.nii.gz
63,liver_99.nii.gz
64,liver_82.nii.gz
65,liver_11.nii.gz
66,liver_78.nii.gz
67,liver_14.nii.gz
68,liver_53.nii.gz
69,liver_116.nii.gz
70,liver_35.nii.gz
71,liver_57.nii.gz
72,liver_20.nii.gz
73,liver_3.nii.gz
74,liver_42.nii.gz
75,liver_96.nii.gz
76,liver_6.nii.gz
77,liver_7.nii.gz
78,liver_121.nii.gz
79,liver_77.nii.gz
80,liver_58.nii.gz
81,liver_30.nii.gz
82,liver_23.nii.gz
83,liver_17.nii.gz
84,liver_95.nii.gz
85,liver_126.nii.gz
86,liver_19.nii.gz
87,liver_59.nii.gz
88,liver_66.nii.gz
89,liver_107.nii.gz
90,liver_18.nii.gz
91,liver_39.nii.gz
92,liver_92.nii.gz
93,liver_22.nii.gz
94,liver_2.nii.gz
95,liver_1.nii.gz
96,liver_45.nii.gz
97,liver_9.nii.gz
98,liver_81.nii.gz
99,liver_127.nii.gz
100,liver_69.nii.gz
101,liver_68.nii.gz
102,liver_120.nii.gz
103,liver_8.nii.gz
104,liver_0.nii.gz
105,liver_60.nii.gz
106,liver_75.nii.gz
107,liver_102.nii.gz
108,liver_24.nii.gz
109,liver_13.nii.gz
110,liver_43.nii.gz
111,liver_112.nii.gz
112,liver_64.nii.gz
113,liver_36.nii.gz
114,liver_86.nii.gz
115,liver_26.nii.gz
116,liver_15.nii.gz
117,liver_31.nii.gz
118,liver_10.nii.gz
119,liver_55.nii.gz
120,liver_128.nii.gz
121,liver_44.nii.gz
122,liver_21.nii.gz
123,liver_88.nii.gz
124,liver_51.nii.gz
125,liver_71.nii.gz
126,liver_90.nii.gz
127,liver_94.nii.gz
128,liver_80.nii.gz
129,liver_130.nii.gz
130,liver_33.nii.gz
131,liver_84.nii.gz
132,liver_109.nii.gz
133,liver_76.nii.gz
134,liver_129.nii.gz
135,liver_123.nii.gz
136,liver_104.nii.gz
137,liver_110.nii.gz
138,liver_98.nii.gz
139,liver_52.nii.gz
140,liver_70.nii.gz
141,liver_74.nii.gz
142,liver_113.nii.gz
143,liver_108.nii.gz
144,liver_4.nii.gz
145,liver_40.nii.gz
146,liver_56.nii.gz
147,liver_46.nii.gz
148,liver_72.nii.gz
149,liver_28.nii.gz
150,liver_48.nii.gz
151,liver_124.nii.gz
152,liver_103.nii.gz
153,liver_122.nii.gz
154,liver_27.nii.gz
155,liver_118.nii.gz
156,liver_101.nii.gz
