,training
0,liver_54.nii.gz
1,lung_069.nii.gz
2,lung_003.nii.gz
3,lung_059.nii.gz
4,lung_092.nii.gz
5,lung_015.nii.gz
6,lung_081.nii.gz
7,lung_001.nii.gz
8,lung_004.nii.gz
9,liver_67.nii.gz
10,liver_65.nii.gz
11,lung_047.nii.gz
12,lung_096.nii.gz
13,lung_083.nii.gz
14,liver_5.nii.gz
15,lung_037.nii.gz
16,lung_071.nii.gz
17,lung_058.nii.gz
18,liver_12.nii.gz
19,liver_83.nii.gz
20,lung_025.nii.gz
21,liver_25.nii.gz
22,lung_048.nii.gz
23,liver_125.nii.gz
24,lung_080.nii.gz
25,lung_079.nii.gz
26,lung_062.nii.gz
27,lung_093.nii.gz
28,pancreas_217.nii.gz
29,pancreas_346.nii.gz
30,pancreas_120.nii.gz
31,pancreas_218.nii.gz
32,pancreas_398.nii.gz
33,pancreas_169.nii.gz
34,pancreas_318.nii.gz
35,pancreas_308.nii.gz
36,pancreas_301.nii.gz
37,pancreas_212.nii.gz
38,pancreas_347.nii.gz
39,pancreas_244.nii.gz
40,pancreas_265.nii.gz
41,pancreas_325.nii.gz
42,pancreas_246.nii.gz
43,pancreas_328.nii.gz
44,pancreas_303.nii.gz
45,pancreas_104.nii.gz
46,pancreas_321.nii.gz
47,pancreas_209.nii.gz
48,pancreas_297.nii.gz
49,pancreas_258.nii.gz
50,pancreas_256.nii.gz
51,pancreas_159.nii.gz
52,pancreas_105.nii.gz
53,pancreas_106.nii.gz
54,pancreas_092.nii.gz
55,pancreas_107.nii.gz
56,pancreas_333.nii.gz
57,pancreas_064.nii.gz
58,pancreas_135.nii.gz
59,pancreas_028.nii.gz
60,pancreas_413.nii.gz
61,pancreas_362.nii.gz
62,pancreas_400.nii.gz
63,pancreas_074.nii.gz
64,pancreas_361.nii.gz
65,pancreas_264.nii.gz
66,pancreas_147.nii.gz
67,pancreas_127.nii.gz
68,pancreas_055.nii.gz
69,pancreas_049.nii.gz
70,pancreas_343.nii.gz
71,pancreas_219.nii.gz
72,pancreas_117.nii.gz
73,pancreas_294.nii.gz
74,pancreas_316.nii.gz
75,pancreas_358.nii.gz
76,pancreas_225.nii.gz
77,pancreas_019.nii.gz
78,pancreas_285.nii.gz
79,pancreas_247.nii.gz
80,pancreas_228.nii.gz
81,pancreas_061.nii.gz
82,pancreas_046.nii.gz
83,pancreas_382.nii.gz
84,pancreas_369.nii.gz
85,pancreas_196.nii.gz
86,pancreas_296.nii.gz
87,pancreas_348.nii.gz
88,pancreas_211.nii.gz
89,pancreas_231.nii.gz
90,pancreas_236.nii.gz
91,pancreas_226.nii.gz
92,pancreas_239.nii.gz
93,pancreas_404.nii.gz
94,pancreas_110.nii.gz
95,pancreas_086.nii.gz
96,pancreas_286.nii.gz
97,pancreas_089.nii.gz
98,pancreas_170.nii.gz
99,pancreas_274.nii.gz
100,pancreas_200.nii.gz
101,pancreas_203.nii.gz
102,pancreas_401.nii.gz
103,pancreas_131.nii.gz
104,pancreas_109.nii.gz
105,pancreas_093.nii.gz
106,pancreas_157.nii.gz
107,pancreas_421.nii.gz
108,pancreas_029.nii.gz
109,pancreas_315.nii.gz
110,pancreas_283.nii.gz
111,pancreas_378.nii.gz
112,pancreas_230.nii.gz
